Time,Acelerometer,Gyroscope,Magnetometer
00:27:52,"[-0.070801, 0.021484, 0.991455]","[0.976562, -0.396729, 0.0]","[61.962271, 58.950607, -71.977724]"
00:27:53,"[-0.075439, 0.021729, 1.00293]","[1.403809, -0.274658, -0.030518]","[61.250061, 57.878777, -71.977724]"
00:27:54,"[-0.076416, 0.019287, 0.994873]","[0.946045, -0.274658, 0.0]","[62.318376, 56.806948, -72.322115]"
00:27:55,"[-0.07251, 0.020508, 0.99585]","[1.220703, -0.305176, -0.030518]","[62.140324, 58.414692, -71.805529]"
00:27:56,"[-0.075195, 0.017822, 0.999512]","[0.976562, -0.396729, 0.152588]","[61.428114, 58.414692, -71.805529]"
00:27:57,"[-0.075195, 0.024902, 0.987305]","[1.098633, -0.335693, 0.0]","[62.318376, 58.950607, -72.666506]"
00:27:58,"[-0.071777, 0.023926, 0.99585]","[1.068115, -0.579834, -0.061035]","[63.208639, 57.700139, -71.805529]"
00:27:59,"[-0.075928, 0.022949, 0.990967]","[1.220703, -0.091553, 0.061035]","[63.030586, 58.236054, -71.977724]"
00:28:00,"[-0.074219, 0.025635, 0.984375]","[1.037598, -0.488281, 0.091553]","[60.715904, 58.414692, -72.838702]"
00:28:01,"[-0.072266, 0.018799, 0.990479]","[1.098633, -0.640869, -0.091553]","[61.962271, 60.379712, -72.322115]"
00:28:02,"[-0.07373, 0.019775, 0.996582]","[0.640869, -0.610352, 0.183105]","[61.962271, 58.59333, -71.977724]"
00:28:03,"[-0.069824, 0.021729, 0.996094]","[1.00708, -0.183105, 0.152588]","[60.537851, 58.950607, -71.977724]"
00:28:04,"[-0.072021, 0.019043, 0.993164]","[1.037598, -0.12207, 0.0]","[61.072009, 59.129245, -72.838702]"
00:28:05,"[-0.075195, 0.019043, 0.983643]","[1.342773, -0.274658, -0.061035]","[62.140324, 56.985586, -72.838702]"
00:28:06,"[-0.07666, 0.020996, 0.986328]","[0.915527, -0.518799, -0.061035]","[62.140324, 58.414692, -72.14992]"
00:28:07,"[-0.071289, 0.023926, 0.989746]","[1.190186, -0.305176, -0.030518]","[61.962271, 58.950607, -70.944551]"
00:28:08,"[-0.072266, 0.020264, 0.999268]","[1.068115, -0.244141, -0.061035]","[61.072009, 58.414692, -72.838702]"
00:28:09,"[-0.076172, 0.020264, 0.995117]","[1.098633, -0.518799, -0.061035]","[62.318376, 58.59333, -72.322115]"
00:28:10,"[-0.071533, 0.022461, 0.992188]","[0.732422, -0.274658, 0.061035]","[62.852534, 58.771968, -70.772356]"
00:28:11,"[-0.075684, 0.023682, 0.989014]","[1.159668, -0.244141, 0.061035]","[61.962271, 58.236054, -72.666506]"
00:28:12,"[-0.074707, 0.025635, 0.989258]","[1.00708, -0.457764, 0.030518]","[63.208639, 58.771968, -72.838702]"
00:28:13,"[-0.071533, 0.020996, 0.993896]","[0.762939, -0.518799, 0.183105]","[61.428114, 58.057416, -72.494311]"
